Title,description,image_link,Link,ID,price,Availability
Party Cardi Birthday Card,"<p>Blank inside.</p><p>A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_28e4be1fc8f34d33bdae56b5385c6057~mv2.png,https://www.sugargirleeco.com/product-page/party-cardi-birthday-card,BD015,6,In Stock
Balloon Bouquet - Navy & Blush,"<p>This navy, rose gold, and blush balloon bundle will be a showstopper at your event! (Seriously.)<br><br><strong>Bundle includes:</strong><br>3 Confetti Balloons ( 12 inch )<br>4 Solid Latex Balloons ( 11 inch )<br>2 Mylar Balloons ( 18 inch )<br><br>Balloons ship deflated. Fill with air or helium* (*required to float)</p><p>&nbsp;</p><p>&nbsp;</p><p>Paperboy</p>",https://static.wixstatic.com/media/79430e_fb0968dde1fa4640a65bae43e0a54b40~mv2.png,https://www.sugargirleeco.com/product-page/balloon-bouquet-navy-blush,BBU-2434,18,In Stock
Confetti - Unicorn,"<p>Our confetti falls slowly and flutters like butterflies, giving you plenty of time to enjoy and capture in a photo. Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_b799be0daee241de992b34752b1727db~mv2.png,https://www.sugargirleeco.com/product-page/confetti-unicorn,CHB-1138,5,In Stock
Paper Plates - Hexagon - Blush & Gold,"<p>These hexagonal paper plates are the perfect shade of blush pink, with soft gold foil accents.</p><p>&nbsp;</p><ul>	<li>Dinner plate size (11 inches / 28cm)</li>	<li>Each pack contains 8 paper plates</li>	<li>Not safe for microwave use</li>	<li>Designed by Paperboy</li></ul>",https://static.wixstatic.com/media/79430e_ea44b11af6d1490ba251c47f38449e54~mv2.png,https://www.sugargirleeco.com/product-page/paper-plates-hexagon-blush-gold,TPL-1323,10,In Stock
Confetti - Pastel Rainbow,"<p>This tissue paper confetti features soft pastels in every color of the rainbow!</p><p>&nbsp;</p><p>Our confetti falls slowly and flutters like butterflies, giving you plenty of time to enjoy and capture in a photo. Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_9413c8075aca42fbb9b8789ab7b6e0ca~mv2.png,https://www.sugargirleeco.com/product-page/confetti-pastel-rainbow,CHB-1004,5,In Stock
Paper Napkins - Confetti - Navy & Gold,<p>A gorgeous navy&nbsp;cocktail napkin with gold foil confetti accents.</p><p>&nbsp;</p><ul>	<li>Cocktail napkin size (5 x 5 inches / 12.5 x 12.5 cm)</li>	<li>Unfolds to 10 x 10 inches (25 x 25 cm)</li>	<li>Each pack contains&nbsp;20 paper napkins</li>	<li>Designed by Paperboy</li></ul>,https://static.wixstatic.com/media/79430e_9413c8075aca42fbb9b8789ab7b6e0ca~mv2.png,https://www.sugargirleeco.com/product-page/paper-napkins-confetti-navy-gold,TNS-1325,7.5,In Stock
Balloon Bouquet - Blush & Rose Gold,<p>This blush and&nbsp;rose gold balloon bundle will be a showstopper at your event! (Seriously.)<br><br><strong>Bundle includes:</strong><br>3 Confetti Balloons ( 12 inch )<br>4 Solid Latex Balloons ( 11 inch )<br>2 Mylar Balloons ( 18 inch )<br><br>Balloons ship deflated. Fill with air or helium* (*required to float)</p><p>&nbsp;</p><p>Paperboy</p>,https://static.wixstatic.com/media/79430e_9ac29686bce141bc9e7dafe9da705485~mv2.png,https://www.sugargirleeco.com/product-page/balloon-bouquet-blush-rose-gold,BBU-2433,18,In Stock
Confetti - Pink Party,"<p>Tissue paper confetti in beautiful shades of pink and gold.</p><p>&nbsp;</p><p>Our confetti falls slowly and flutters like butterflies, giving you plenty of time to enjoy and capture in a photo.</p><p>&nbsp;</p><p>Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_e7080b8d07e74c338a061f50f4fababc~mv2.png,https://www.sugargirleeco.com/product-page/confetti-pink-party,CHB-1005,5,In Stock
Paper Napkins - Stripes - Blush & Rose Gold,<p>Large blush luncheon napkins with a rose gold foil stripe pattern.</p><p>&nbsp;</p><ul>	<li>Luncheon napkin size (6.5 x 6.5 inches / 16.5 x 16.5 cm)</li>	<li>Unfolds to 13 x 13 inches (33 x 33 cm)</li>	<li>Each pack contains&nbsp;20 paper napkins</li>	<li>Designed by Paperboy</li></ul>,https://static.wixstatic.com/media/79430e_a8867b8b8c564754b62337cb53b9aa58~mv2.png,https://www.sugargirleeco.com/product-page/paper-napkins-stripes-blush-rose-gold,TNL-1324,8.5,In Stock
Bey Birth-slay Card,"<p>Blank inside. A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_f3fa5bf8ff694e3aa3e60be6b982a962~mv2.png,https://www.sugargirleeco.com/product-page/bey-birth-slay-card,BD004,6,In Stock
Paper Napkins - Small - Rainbow,"<p>A set of adorable die-cut rainbow paper napkins in perfectly bright rainbow hues.</p><p>Finished with a scalloped edge. Each color is printed individually for the most vivid pop of color that you have to see to believe!</p><p>&nbsp;</p><p>Napkins are double-sided: Rainbow Shape with Stars on front, Stars only on back.</p><p>&nbsp;</p><ul>	<li>Cocktail napkin size (5 x 5 inches / 12.5 x 12.5 cm)</li>	<li>Unfolds to 10 x 10 inches (25 x 25 cm)</li>	<li>Each pack contains&nbsp;20 paper napkins</li>	<li>Designed by Paperboy</li></ul>",https://static.wixstatic.com/media/79430e_7f35e9cf66ee42908a4ed55303b500aa~mv2.png,https://www.sugargirleeco.com/product-page/paper-napkins-small-rainbow,TNS-1321,7.5,In Stock
Rihanna Wild Wild Wild Card,"<p>Blank inside.</p><p>A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_f3fa5bf8ff694e3aa3e60be6b982a962~mv2.png,https://www.sugargirleeco.com/product-page/rihanna-wild-wild-wild-card,BD014,6,In Stock
Balloon Bouquet - Unicorn,<p>This bright colored balloon bundle is totally perfect for a Unicorn or Mermaid party!<br><br><strong>Bundle includes:</strong><br>3 Confetti Balloons ( 12 inch )<br>4 Solid Latex Balloons ( 11 inch )<br>2 Mylar Balloons ( 18 inch )<br><br>Balloons ship deflated. Fill with air or helium* (*required to float)</p><p>&nbsp;</p><p>&nbsp;</p><p>Paperboy</p>,https://static.wixstatic.com/media/79430e_9c2752bf4ac446e69e2aaa082ba273fc~mv2.png,https://www.sugargirleeco.com/product-page/balloon-bouquet-unicorn,BBU-1138,18,In Stock
Paper Plates - Rainbow,<p>A set of adorable die-cut rainbow paper plates in perfectly bright rainbow hues. Each color is printed individually for the most vivid pop of color that you have to see to believe!</p><p>&nbsp;</p><p>Plate Size: 10 x 7.5 x .5 inches</p><p>&nbsp;</p><ul></ul><ul>	<li>Each pack contains 8 paper plates</li>	<li>Not safe for microwave use</li>	<li>Designed by Paperboy</li></ul>,https://static.wixstatic.com/media/79430e_fc019ef12bff4ed78b8a49992a9f3f9a~mv2.png,https://www.sugargirleeco.com/product-page/paper-plates-rainbow,TPL-1321,9,In Stock
Confetti - Rainbow,"<p>A bright rainbow mix of colors makes this confetti perfect for so many occasions!</p><p>&nbsp;</p><p>Our confetti falls slowly and flutters like butterflies, giving you plenty of time to enjoy and capture in a photo.</p><p>&nbsp;</p><p>Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_ebc7ea9ccffe4c26ba2e82670d179140~mv2.png,https://www.sugargirleeco.com/product-page/confetti-rainbow,CHB-1003,5,In Stock
Balloon Bouquet - Tropical with Leaves,<p>This mix of balloons is&nbsp;perfect for a tropical or jungle themed party!<br><br><strong>Bundle Includes:</strong><br>3&nbsp;Printed&nbsp;Confetti Balloons ( 12 inch )<br>4 Solid Latex Balloons ( 11 inch )<br>2 Gold Mylar Balloons ( 18 inch )<br>2 Mylar&nbsp;Monstera Leaf Balloons ( 21 inch )</p><p>&nbsp;</p><p>&nbsp;</p><p><strong>Good to Know:</strong><br>The clear balloons have the confetti<strong>&nbsp;<em>printed</em>&nbsp;</strong>on the outside. <u>None of the balloons in this bouquet contain cut confetti.</u></p><p>&nbsp;</p><p><em>Balloons ship deflated. Fill with helium to float.</em></p><p>&nbsp;</p><p>Paperboy</p>,https://static.wixstatic.com/media/79430e_32f19caef9f6437cb77f5a81209e37a1~mv2.png,https://www.sugargirleeco.com/product-page/balloon-bouquet-tropical-with-leaves,BBU-3436-L1,32,Out of Stock
Confetti - Blush & Gold,"<p>Tissue paper confetti in beautiful shades of blush pink, ivory, and gold.</p><p>&nbsp;</p><p>Our confetti is made and packaged by hand in our Portland studio from the highest quality tissue paper and mylar. When thrown in the air, it flutters like snow, so it's perfect for tossing!</p><p>&nbsp;</p><p>It looks beautiful scattered across a table or any other surface for a festive touch.</p><p>&nbsp;</p><p>Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_ce26f5b968734445aca2d872d0fa2abf~mv2.png,https://www.sugargirleeco.com/product-page/confetti-blush-gold,CHB-1001,5,In Stock
Kanye Birthday Card,"<p>Blank inside.</p><p>A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_9ddea15b17904e4bb3c484fff1c98644~mv2.png,https://www.sugargirleeco.com/product-page/kanye-birthday-card,BD009,6,InStock
Kim K Crying Pin,"<p>Soft Enamel Pin.</p><p>Metal: Zinc Alloy. Size: 35mm.</p><p>Backing: Butterfly Clutch.</p><p>&nbsp;</p><p>Shipped in a secure, bubble mailer to ensure a safe arrival.</p>",https://static.wixstatic.com/media/79430e_7c8d9f0e93bc4a62be697b736f7cf4ac~mv2.png,https://www.sugargirleeco.com/product-page/kim-k-crying-pin,PN011,12,Out of stock
Drake Birthday Girl Card,"<p>Blank inside.</p><p>A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_7c8d9f0e93bc4a62be697b736f7cf4ac~mv2.png,https://www.sugargirleeco.com/product-page/drake-birthday-girl-card,BD018,6,In stock
"Cher ""Turn Back Time"" Birthday Card","<p>Blank inside.</p><p>A2 size: 4.25"" x 5.5"".</p><p>Printed on matte white cardstock.</p><p>Comes with kraft envelope, cellophane sleeve.</p><p>Designed and printed in Toronto, Canada.</p><p>&nbsp;</p><p>Party Mountain Paper co.</p>",https://static.wixstatic.com/media/79430e_e4d7350635b7407db73700c9f5d5814e~mv2.png,https://www.sugargirleeco.com/product-page/cher-turn-back-time-birthday-card,BD022,6,In stock
Haute Mess Candle,"<p>The cutest damn candle. And it smells good, too. Your best friend is like: “babygirl, you an Haute Mess”.</p><p>An upward spiral of edgy chili pepper and tart citrus fruit creates this electrifying blend.</p><p>Balanced out with the earthy tones of black currant and pink raspberries.</p><p>&nbsp;</p><p>This candle is 100% soy wax, fragranced with essential oils. It’s phthalate-free.</p><p>&nbsp;</p><p>&nbsp;</p><p>Thanks, babe xoxo.</p><p>&nbsp;</p><p>Crafted by : Ryan Porter</p>",https://static.wixstatic.com/media/79430e_2884f9403c17429b861075fe69791000~mv2.png,https://www.sugargirleeco.com/product-page/haute-mess-candle,HTE-001,26,In stock 
